,Country,Amount
0,Albania,1970
2,Argentina,82219
3,Armenia,1905
5,Australia,70111
6,Austria,50073
7,Azerbaijan,1656
11,Belarus,59892
12,Belgium,62761
13,Belize,348
14,Bosnia and Herzegovina,318
15,Brazil,226613
16,Bulgaria,36388
18,Canada,107561
19,Chile,40895
20,Colombia,53080
21,Costa Rica,6792
22,Croatia,18429
23,Cuba,41418
24,Cyprus,412
25,Czech Republic,43687
26,Denmark,15297
27,Dominica,0
28,Ecuador,20660
29,El Salvador,11683
30,Estonia,7034
31,Fiji,304
32,Finland,33677
33,France,329127
34,Georgia,3224
35,Germany,291262
36,Greece,12368
37,Grenada,38
38,Guatemala,8149
39,Guyana,3426
40,Hungary,73891
41,Iceland,1108
42,Ireland,12574
43,Israel,11294
44,Italy,132060
45,Jamaica,184
46,Japan,806902
47,Kazakhstan,101546
48,Kiribati,53
49,Kuwait,966
50,Kyrgyzstan,13090
51,Latvia,12770
52,Lithuania,28039
53,Luxembourg,1958
54,Macau,27
55,Maldives,20
56,Malta,585
57,Mauritius,3894
58,Mexico,111139
59,Mongolia,423
60,Montenegro,472
61,Netherlands,50833
62,New Zealand,14383
63,Nicaragua,2013
64,Norway,16992
65,Oman,33
66,Panama,3483
67,Paraguay,4783
68,Philippines,21330
69,Poland,139098
70,Portugal,24061
71,Puerto Rico,9043
72,Qatar,574
73,Republic of Korea,261730
74,Romania,72777
75,Russia,1209742
76,Saint Kitts and Nevis,0
77,Saint Lucia,230
78,Saint Vincent and Grenadines,124
79,San Marino,4
80,Serbia,24179
81,Seychelles,98
82,Singapore,10089
83,Slovakia,13437
84,Slovenia,10615
85,South Africa,7321
86,Spain,100202
87,Sri Lanka,55641
88,Suriname,2166
89,Sweden,37795
90,Switzerland,26217
91,Thailand,110643
92,Trinidad and Tobago,4039
93,Turkey,10131
94,Turkmenistan,8624
95,Ukraine,319950
96,United Arab Emirates,622
97,United Kingdom,136805
98,USA,1034013
99,Uruguay,13138
100,Uzbekistan,34803
