Country,Date,Confirmed,Deaths,Recovered
Brazil,1,0,0,0
Brazil,2,2,0,0
Brazil,3,5717,201,127
Brazil,4,87187,6006,35935
Brazil,5,514849,29314,206555
Brazil,6,1402041,59594,788318
Brazil,7,2442375,87618,1846641
France,1,5,0,0
France,2,100,2,12
France,3,52827,3532,9513
France,4,167299,24379,49476
France,5,189009,28805,68473
France,6,202063,29846,76399
France,7,220352,30212,81212
India,1,1,0,0
India,2,3,0,3
India,3,1397,35,123
India,4,34863,1154,9068
India,5,190609,5408,91852
India,6,585481,17400,347912
India,7,1480073,33408,951166
Russia,1,2,0,0
Russia,2,2,0,2
Russia,3,2337,17,121
Russia,4,106498,1073,11619
Russia,5,405843,4693,171883
Russia,6,646929,9306,411973
Russia,7,816680,13334,602249
USA,1,6,1,1,1,11,1,1
USA,2,661,1,1,11,1,1
USA,3,164620,1,1,1,11,1,1
USA,4,1061504,1,1,1,11,1,1,1
USA,5,1791979,1,1,1,11,1,1
USA,6,2612147,1,1,1,11,1,1
USA,7,4516609,1,1,1,11,1,1
